Date,ret,rv,vix,nfci
2010-01-05,0.003110831966759875,1.444641478415479e-05,19.35,
2010-01-06,0.0005453718878234426,1.0016016981296068e-05,19.16,
2010-01-07,0.003993218354654715,3.926048251745592e-05,19.06,
2010-01-08,0.0028775830750955578,2.642276797943434e-05,18.13,-0.194
2010-01-11,0.0017452316285844205,2.238901680985253e-05,17.55,-0.194
2010-01-12,-0.00942544643894383,3.886633480502722e-05,18.25,-0.194
2010-01-13,0.008291456333360259,6.823242849489012e-05,17.85,-0.194
2010-01-14,0.0024234864214136564,1.4333435459368842e-05,17.63,-0.194
2010-01-15,-0.010882126301208217,6.281867674046202e-05,17.91,-0.203
2010-01-19,0.012422151207736931,2.2852999130639006e-05,17.58,-0.203
2010-01-20,-0.010654386601861354,0.00010583542901792655,18.68,-0.203
2010-01-21,-0.019126657272988012,0.00013115319027385376,22.27,-0.203
2010-01-22,-0.022389779630108464,8.47626408223006e-05,27.31,-0.202
2010-01-25,0.004587559053796042,4.017712630507943e-05,25.41,-0.202
2010-01-26,-0.004212057847785999,7.525068017176586e-05,24.55,-0.202
2010-01-27,0.004868282868612184,0.00010295723418078424,23.14,-0.202
2010-01-28,-0.011888125534279759,0.00014959440207806384,23.73,-0.202
2010-01-29,-0.009877799049982094,0.0002005479378360391,24.62,-0.197
2010-02-01,0.014165305546369744,2.5239289138475674e-05,22.59,-0.197
2010-02-02,0.012889520445202862,6.043411643853298e-05,21.48,-0.197
2010-02-03,-0.005489350382538838,2.8057394170365563e-05,21.6,-0.197
2010-02-04,-0.03163585604980668,0.00012346289929877853,26.08,-0.197
2010-02-05,0.0028929303608267176,0.00022826013723731468,26.11,-0.193
2010-02-08,-0.008902803100374612,6.894939023838144e-05,26.51,-0.193
2010-02-09,0.012955841773586663,0.00012419210367331548,26.0,-0.193
2010-02-10,-0.0022350694280079964,8.945994885834755e-05,25.4,-0.193
2010-02-11,0.009633882335101873,0.00012173192548648658,23.96,-0.193
2010-02-12,-0.002748366119941892,9.604631665448026e-05,22.73,-0.197
2010-02-16,0.017840653536262074,3.468639488208104e-05,22.25,-0.197
2010-02-17,0.004229004596710162,1.287700085415682e-05,21.72,-0.197
