dataset,qubits,reservoir_features,train_samples,test_samples,accuracy,balanced_accuracy,macro_f1,feature_wall_seconds,readout_wall_seconds,seed
MNIST,5,18,100,50,0.32,0.32,0.30700577200577206,0.21600055694580078,0.009107112884521484,7
MNIST,10,38,100,50,0.6,0.6000000000000001,0.5887085137085137,0.5109505653381348,0.016384601593017578,7
MNIST,15,58,100,50,0.58,0.58,0.5671639471639472,1.0372648239135742,0.044916391372680664,7
MNIST,0,16,100,50,0.8,0.8,0.7885103785103784,0.0,0.01134490966796875,7
