Model,RMSE,QLIKE,MZ_slope
QRC Dual+Pauli+FB,5.593712177647873e-05,0.24251129706361288,1.273768016011448
HAR-RV,5.599388179399471e-05,0.2350879944010657,1.3163467367708224
Persistence,6.066840066552298e-05,0.261231395688427,0.671976473002431
