n,p,RMSE,QLIKE,seconds
5,2,7.943810943432476e-05,0.40356764963406216,7.4
5,4,8.397567134886305e-05,0.45757709488568615,11.2
7,2,7.956006218492955e-05,0.404380096166634,10.4
7,4,7.975998928923334e-05,0.43425716502421985,16.1
9,2,7.792003322089693e-05,0.40532683755711213,13.6
9,4,7.899039814652688e-05,0.4029548397892792,21.8
11,2,7.853792463512042e-05,0.4126591639046073,19.0
11,4,7.761680936425423e-05,0.41243905159031724,31.5
