shots,RMSE,QLIKE
256,8.027814732971076e-05,0.42655134395112526
1024,7.986794174820832e-05,0.42930825199056893
4096,7.892521505688863e-05,0.4150415465175491
exact,7.792003322089693e-05,0.40532683755711213
